,Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Stockholders Equity,Gains Losses Not Affecting Retained Earnings,Other Equity Adjustments,Retained Earnings,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Tradeand Other Payables Non Current,Non Current Deferred Liabilities,Non Current Deferred Revenue,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Current Liabilities,Other Current Liabilities,Current Deferred Liabilities,Current Deferred Revenue,Current Debt And Capital Lease Obligation,Current Debt,Other Current Borrowings,Commercial Paper,Pensionand Other Post Retirement Benefit Plans Current,Payables And Accrued Expenses,Payables,Total Tax Payable,Income Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Financial Assets,Investments And Advances,Investmentin Financial Assets,Available For Sale Securities,Long Term Equity Investment,Goodwill And Other Intangible Assets,Other Intangible Assets,Goodwill,Net PPE,Accumulated Depreciation,Gross PPE,Leases,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Hedging Assets Current,Inventory,Finished Goods,Work In Process,Raw Materials,Receivables,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Equivalents,Cash Financial,frequency
2021-06-30,7519000000.0,7519000000.0,43922000000.0,67775000000.0,84477000000.0,200134000000.0,95749000000.0,84477000000.0,9629000000.0,141988000000.0,192062000000.0,141988000000.0,141988000000.0,1822000000.0,1822000000.0,57055000000.0,83111000000.0,83111000000.0,191791000000.0,103134000000.0,13427000000.0,27190000000.0,2814000000.0,2616000000.0,198000000.0,59703000000.0,9629000000.0,50074000000.0,88657000000.0,11666000000.0,41525000000.0,41525000000.0,8072000000.0,8072000000.0,,,10057000000.0,17337000000.0,17337000000.0,2174000000.0,2174000000.0,15163000000.0,333779000000.0,149373000000.0,15075000000.0,0.0,5984000000.0,0.0,,5984000000.0,57511000000.0,7800000000.0,49711000000.0,70803000000.0,-51351000000.0,122154000000.0,6884000000.0,11088000000.0,56594000000.0,43928000000.0,3660000000.0,0.0,184406000000.0,13393000000.0,78000000.0,2636000000.0,1367000000.0,79000000.0,1190000000.0,38043000000.0,38043000000.0,-751000000.0,38794000000.0,130256000000.0,116032000000.0,14224000000.0,6952000000.0,7272000000.0,annual
2022-06-30,7464000000.0,7464000000.0,35850000000.0,61270000000.0,87720000000.0,216323000000.0,74602000000.0,87720000000.0,11489000000.0,166542000000.0,213574000000.0,166542000000.0,166542000000.0,-4678000000.0,-4678000000.0,84281000000.0,86939000000.0,86939000000.0,198298000000.0,103216000000.0,15526000000.0,26069000000.0,3100000000.0,2870000000.0,230000000.0,58521000000.0,11489000000.0,47032000000.0,95082000000.0,13067000000.0,45538000000.0,45538000000.0,2749000000.0,2749000000.0,,,10661000000.0,23067000000.0,23067000000.0,4067000000.0,4067000000.0,19000000000.0,364840000000.0,195156000000.0,21897000000.0,0.0,6891000000.0,0.0,,6891000000.0,78822000000.0,11298000000.0,67524000000.0,87546000000.0,-59660000000.0,147206000000.0,7819000000.0,13148000000.0,66491000000.0,55014000000.0,4734000000.0,0.0,169684000000.0,16924000000.0,8000000.0,3742000000.0,2516000000.0,82000000.0,1144000000.0,44261000000.0,44261000000.0,-633000000.0,44894000000.0,104749000000.0,90818000000.0,13931000000.0,5673000000.0,8258000000.0,annual
2023-06-30,7432000000.0,7432000000.0,12533000000.0,59965000000.0,128971000000.0,253460000000.0,80108000000.0,128971000000.0,12728000000.0,206223000000.0,248213000000.0,206223000000.0,206223000000.0,-6343000000.0,-6343000000.0,118848000000.0,93718000000.0,93718000000.0,205753000000.0,101604000000.0,17981000000.0,25560000000.0,3345000000.0,2912000000.0,433000000.0,54718000000.0,12728000000.0,41990000000.0,104149000000.0,14745000000.0,50901000000.0,50901000000.0,5247000000.0,5247000000.0,5247000000.0,0.0,11009000000.0,22247000000.0,22247000000.0,4152000000.0,4152000000.0,18095000000.0,411976000000.0,227719000000.0,30601000000.0,0.0,9879000000.0,0.0,,9879000000.0,77252000000.0,9366000000.0,67886000000.0,109987000000.0,-68251000000.0,178238000000.0,8537000000.0,14346000000.0,81207000000.0,68465000000.0,5683000000.0,0.0,184257000000.0,21807000000.0,6000000.0,2500000000.0,1768000000.0,23000000.0,709000000.0,48688000000.0,48688000000.0,-650000000.0,49338000000.0,111256000000.0,76552000000.0,34704000000.0,26226000000.0,8478000000.0,annual
2024-03-31,7432305794.0,7432305794.0,45808000000.0,79911000000.0,105161000000.0,318594000000.0,28655000000.0,105161000000.0,14469000000.0,253152000000.0,295810000000.0,253152000000.0,253152000000.0,-5435000000.0,-5435000000.0,159394000000.0,99193000000.0,99193000000.0,231123000000.0,112598000000.0,23271000000.0,26786000000.0,5414000000.0,2945000000.0,2469000000.0,57127000000.0,14469000000.0,42658000000.0,118525000000.0,18023000000.0,41888000000.0,41888000000.0,22784000000.0,22784000000.0,2249000000.0,20535000000.0,10432000000.0,25398000000.0,25398000000.0,7311000000.0,7311000000.0,18087000000.0,484275000000.0,337095000000.0,35551000000.0,0.0,14807000000.0,1500000000.0,1500000000.0,13307000000.0,147991000000.0,28828000000.0,119163000000.0,138746000000.0,-74945000000.0,213691000000.0,,213691000000.0,,,,,147180000000.0,21826000000.0,8000000.0,1304000000.0,951000000.0,12000000.0,341000000.0,44029000000.0,44029000000.0,-616000000.0,44645000000.0,80013000000.0,60379000000.0,19634000000.0,8053000000.0,11581000000.0,quarterly
2024-06-30,7434138859.0,7434138859.0,33315000000.0,67127000000.0,121660000000.0,320107000000.0,34448000000.0,121660000000.0,15497000000.0,268477000000.0,311165000000.0,268477000000.0,268477000000.0,-5590000000.0,-5590000000.0,173144000000.0,100923000000.0,100923000000.0,243686000000.0,118400000000.0,27064000000.0,27931000000.0,5220000000.0,2602000000.0,2618000000.0,58185000000.0,15497000000.0,42688000000.0,125286000000.0,19185000000.0,57582000000.0,57582000000.0,8942000000.0,8942000000.0,2249000000.0,6693000000.0,12564000000.0,27013000000.0,27013000000.0,5017000000.0,5017000000.0,21996000000.0,512163000000.0,352429000000.0,36460000000.0,0.0,14600000000.0,1500000000.0,1500000000.0,13100000000.0,146817000000.0,27597000000.0,119220000000.0,154552000000.0,-76421000000.0,230973000000.0,9594000000.0,18961000000.0,100312000000.0,93943000000.0,8163000000.0,0.0,159734000000.0,26021000000.0,12000000.0,1246000000.0,845000000.0,7000000.0,394000000.0,56924000000.0,56924000000.0,-830000000.0,57754000000.0,75531000000.0,57216000000.0,18315000000.0,6744000000.0,11571000000.0,annual
2024-09-30,7436000000.0,7436000000.0,24277000000.0,61478000000.0,141598000000.0,332840000000.0,34726000000.0,141598000000.0,16361000000.0,287723000000.0,330591000000.0,287723000000.0,287723000000.0,-4182000000.0,-4182000000.0,188929000000.0,102976000000.0,102976000000.0,235290000000.0,120090000000.0,31165000000.0,24452000000.0,5244000000.0,2663000000.0,2581000000.0,59229000000.0,16361000000.0,42868000000.0,115200000000.0,19114000000.0,53026000000.0,53026000000.0,2249000000.0,2249000000.0,2249000000.0,0.0,8326000000.0,32485000000.0,32485000000.0,9717000000.0,9717000000.0,22768000000.0,523013000000.0,373087000000.0,37793000000.0,0.0,15778000000.0,1500000000.0,1500000000.0,14278000000.0,146125000000.0,26751000000.0,119374000000.0,173391000000.0,-80517000000.0,253908000000.0,,253908000000.0,,,,,149926000000.0,25724000000.0,-1000000.0,1626000000.0,1127000000.0,11000000.0,488000000.0,44148000000.0,44148000000.0,-647000000.0,44795000000.0,78429000000.0,57589000000.0,20840000000.0,10252000000.0,10588000000.0,quarterly
2024-12-31,7435256940.0,7435256940.0,27488000000.0,62224000000.0,158119000000.0,347665000000.0,38198000000.0,158119000000.0,17254000000.0,302695000000.0,342417000000.0,302695000000.0,302695000000.0,-5616000000.0,-5616000000.0,203482000000.0,104829000000.0,104829000000.0,231203000000.0,122321000000.0,35906000000.0,24389000000.0,5050000000.0,2537000000.0,2513000000.0,56976000000.0,17254000000.0,39722000000.0,108882000000.0,20286000000.0,45508000000.0,45508000000.0,5248000000.0,5248000000.0,5248000000.0,0.0,9176000000.0,28664000000.0,28664000000.0,6056000000.0,6056000000.0,22608000000.0,533898000000.0,386818000000.0,36943000000.0,0.0,15581000000.0,2277000000.0,2277000000.0,13304000000.0,144576000000.0,25385000000.0,119191000000.0,189718000000.0,-82820000000.0,272538000000.0,,272538000000.0,,,,,147080000000.0,26428000000.0,4000000.0,909000000.0,557000000.0,7000000.0,345000000.0,48188000000.0,48188000000.0,-662000000.0,48850000000.0,71551000000.0,54069000000.0,17482000000.0,7835000000.0,9647000000.0,quarterly
2025-03-31,7433982235.0,7433982235.0,14053000000.0,60567000000.0,178594000000.0,364772000000.0,42438000000.0,178594000000.0,17686000000.0,321891000000.0,361773000000.0,321891000000.0,321891000000.0,-4833000000.0,-4833000000.0,219759000000.0,106965000000.0,106965000000.0,240733000000.0,126527000000.0,38536000000.0,25061000000.0,5362000000.0,2840000000.0,2522000000.0,57568000000.0,17686000000.0,39882000000.0,114206000000.0,22937000000.0,44636000000.0,44636000000.0,2999000000.0,2999000000.0,2999000000.0,0.0,10579000000.0,33055000000.0,33055000000.0,6805000000.0,6805000000.0,26250000000.0,562624000000.0,405980000000.0,38234000000.0,273000000.0,15762000000.0,2275000000.0,2275000000.0,13487000000.0,143297000000.0,23968000000.0,119329000000.0,208414000000.0,-87074000000.0,295488000000.0,,295488000000.0,,,,,156644000000.0,24478000000.0,6000000.0,848000000.0,508000000.0,13000000.0,327000000.0,51700000000.0,51700000000.0,-695000000.0,52395000000.0,79612000000.0,50784000000.0,28828000000.0,18148000000.0,10680000000.0,quarterly
